Checksum Id Operacao;Data do Inicio;Data da Deflagracao;Tipo de Operacao;Area;Sigla Unidade Federativa;Sigla Unidade Institucional;Atuacao em Territorio Indigena;Atuacao em Territorio de Fronteira;Qtd Prisao em Flagrante;Qtd Prisao Preventiva;Qtd Prisao Temporaria;Qtd Mandado de Busca e Apreesao;Qtd Valores Apreendidos;Qtd Valores Apreendidos i11;Qtd Valores Descapitalizados;Qtd Prejuizos Causados a Uniao;Proib Ausentar Comarca;Proib Acesso ou Freq;Comparecimento Juizo;Qtd Fianca;Qtd Internacao Prov;Proib Contato;Mand Jud Caut Assec;Recol Domic Noturno;Susp Ex Func Pub A E;Monit Eletronica
3264de8e8e33a609fb96271f689ab93c;2024-01-31;2024-01-31;Operacao de Apoio;Tráfico de Drogas;DF;SR/PF/DF;Nao;;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
126ed3bd11f22e7a09966f4593c32f32;2024-01-30;2024-01-30;Operacao Especial;Crimes de Ódio e Pornografia Infantil;DF;SR/PF/DF;Nao;;0;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
21500f46e38bca128dc448bbe81eca37;2024-01-30;2024-01-30;Operacao Especial;Crimes de Ódio e Pornografia Infantil;DF;SR/PF/DF;Nao;;0;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
953b5c19261401a63d6b698e43727001;2024-01-30;2024-01-30;Operacao de Apoio;Tráfico de Drogas;SP;DPF/STS/SP;Nao;;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
1d97d2eb7f417bc14ba9f996bfd1d140;2024-01-28;2024-01-28;Operacao Simples;Tráfico de Drogas;RN;SR/PF/RN;Nao;;1;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
107f32d38d66a49e4466a2026d385a6f;2023-11-06;2024-01-25;Operacao Comum;Crimes Fazendários;ES;SR/PF/ES;Nao;;0;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
aa9b3d15492aea056bcc3f331d0bd108;2023-11-30;2024-01-25;Operacao Comum;Crimes Fazendários;AL;SR/PF/AL;Nao;;0;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
49d85bed4dba1ed09f6fce3f6410ab09;2023-12-04;2024-01-25;Operacao Comum;Crimes de Ódio e Pornografia Infantil;RJ;SR/PF/RJ;Nao;;1;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
3bfb020e3cb38b80feeaa873a211479f;2023-12-26;2024-01-25;Operacao Especial;Crimes de Ódio e Pornografia Infantil;SP;DPF/JLS/SP;Nao;;0;0;0;2;;;;;0;0;0;0;0;0;0;0;0;0
32354692f0962a937ef53f3ba70dd7dc;2024-01-25;2024-01-25;Operacao Simples;Crimes de Ódio e Pornografia Infantil;DF;SR/PF/DF;Nao;;1;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
6fb1098379698e61b2dd6c994a9d1289;2024-01-25;2024-01-25;Operacao Simples;Tráfico de Drogas;DF;SR/PF/DF;Nao;;1;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
d7f9607ca12fa449600b84b654d621db;2023-05-19;2024-01-24;Operacao Simples;Crimes Ambientais e Contra o Patrimônio Cultural;PR;DPF/FIG/PR;Nao;Paraguai;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
5fb4cd9e873bf3ca950a7ec3d0ddc016;2024-01-24;2024-01-24;Operacao Especial;Crimes de Ódio e Pornografia Infantil;DF;SR/PF/DF;Nao;;1;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
300b6c9408d7d3ca5447cf31d533b495;2024-01-24;2024-01-24;Operacao Simples;Crimes Fazendários;MS;DPF/DRS/MS;Nao;;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
b5a04a4072fae06814c449e50f2c8516;2024-01-24;2024-01-24;Operacao de Apoio;Crimes de Ódio e Pornografia Infantil;SP;SR/PF/SP;Nao;;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
e451cf219d6f2e44c708d4148dc8ee4c;2024-01-24;2024-01-24;Operacao de Apoio;Crimes de Ódio e Pornografia Infantil;SP;SR/PF/SP;Nao;;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
57e5945ecc1a488268a0b918a1179a04;2024-01-24;2024-01-24;Operacao de Apoio;Crimes de Ódio e Pornografia Infantil;SP;SR/PF/SP;Nao;;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
f71720a1e86943b676d7dbd2b84c23e0;2024-01-24;2024-01-24;Operacao de Apoio;Crimes de Ódio e Pornografia Infantil;SP;SR/PF/SP;Nao;;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
1282f7e924bf2c0e0aac7916205d164b;2024-01-24;2024-01-24;Operacao de Apoio;Crimes de Ódio e Pornografia Infantil;SP;DPF/MII/SP;Nao;;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
66994da114e4b229ab2290a5ff387458;2024-01-25;2024-01-24;Operacao Simples;Crimes Fazendários;MS;SR/PF/MS;Nao;;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
5c7e145b0f881c399370c65a8cdb638c;2019-05-24;2024-01-23;Operacao Especial;Crimes Previdenciários;DF;SR/PF/DF;Nao;;0;5;0;13;;;;13032372.0;0;0;0;0;0;0;0;0;0;0
870696b949673b8c80175773ac56eb13;2024-01-09;2024-01-23;Operacao Especial;Crimes Contra o Patrimônio;RN;SR/PF/RN;Nao;;0;0;0;9;;;;;0;0;0;0;0;0;0;0;0;0
8457f5bb6e9ac6d48320565f77705524;2024-01-23;2024-01-23;Operacao de Apoio;Tráfico de Drogas;SP;SR/PF/SP;Nao;;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
84320676faa98a5e4a8b9b71cbc234fe;2024-01-23;2024-01-23;Operacao de Apoio;Tráfico de Drogas;SP;SR/PF/SP;Nao;;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
b7ec8454fc7f4838cb45e84c09baf47b;2024-01-23;2024-01-23;Operacao Simples;Crimes Fazendários;MS;DPF/DRS/MS;Nao;;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
6ae44d522f0e5f965a0d0f0b1d129441;2024-01-23;2024-01-23;Operacao Simples;Crimes Fazendários;MS;DPF/NVI/MS;Nao;;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
63c290847a6fa5e5b6a731fae91372fa;2024-01-23;2024-01-23;Operacao Simples;Crimes Fazendários;SP;DPF/SOD/SP;Nao;;1;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
c52191205b6b2051b0ce8dfb1669db68;2023-03-25;2024-01-22;Operacao Simples;Crimes Fazendários;PR;DPF/FIG/PR;Nao;Argentina;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
8e5416c6100525c7c053a1f9a8a85a69;2023-11-29;2024-01-22;Operacao Comum;Crimes Contra Direitos Humanos;PB;DPF/CGE/PB;Nao;;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
f8c1fea10aa283f9e379153f4db3a77c;2024-01-17;2024-01-22;Operacao Comum;Crimes Contra o Patrimônio;MA;SR/PF/MA;Nao;;0;1;0;0;;;;;0;0;0;0;0;0;0;0;0;0
