id,produto,quantidade,preÃ§o,data
524,teclado musical eletrônico,1,199.00,01/09/2022
523,estojo de ferramentas completo,1,129.00,07/10/2022
522,telescópio astronômico,1,299.00,13/11/2022
521,barbeador elétrico,1,89.90,19/12/2022
520,console de videogame,1,499.00,27/01/2023
519,conjunto de malas de viagem,1,249.00,03/02/2023
518,conjunto de panelas antiaderentes,1,179.00,11/03/2023
517,impressora laser monocromática,1,179.00,18/04/2023
516,luminária de mesa LED,2,39.90,25/05/2023
515,caixa de som inteligente,1,129.00,02/06/2023
514,notebook ultrafino,1,1299.00,08/07/2023
513,cafeteira expresso automática,1,599.00,16/08/2023
512,aspirador de pó vertical sem fio,1,249.00,21/09/2023
511,monitor ultra-wide,1,599.00,28/10/2023
510,conjunto de facas profissionais,1,129.00,05/11/2023
509,roçadeira elétrica,1,149.00,09/12/2023
508,cadeira ergonômica para escritório,2,299.00,14/01/2024
507,teclado mecânico gamer,1,199.00,19/02/2024
506,smartphone topo de linha,1,1999.00,27/03/2024
505,frigobar compacto,1,399.00,03/04/2024
504,cafeteira italiana,3,49.90,11/05/2024
503,panela de pressão elétrica,1,299.00,22/06/2024
502,liquidificador potente,1,149.00,15/07/2024
501,ventilador de mesa,2,79.90,30/08/2024
